Ru	-2	104	14
H	36	122	69
P	-60	159	2
P	80	122	-7
C	-28	55	52
H	-19	53	94
C	11	44	23
H	54	30	39
C	-19	51	-30
H	-2	45	-62
C	-76	67	-34
H	-110	76	-69
C	-81	70	17
H	-120	81	27
C	-46	190	-52
H	-74	214	-52
H	0	199	-48
H	-64	175	-88
C	-129	157	-10
H	-148	185	-13
H	-150	142	-45
H	-138	143	22
C	-26	192	55
H	-54	217	46
H	-32	179	89
H	21	200	63
C	74	136	-73
H	119	140	-78
H	50	115	-100
H	50	162	-82
C	137	85	-1
H	175	95	-12
H	152	75	38
H	116	62	-26
C	127	158	31
H	165	165	17
H	100	182	30
H	144	149	71
