C	265	271	121
C	284	246	14
C	239	380	152
C	239	150	-33
C	199	199	186
C	258	433	-35
C	281	329	-64
C	238	459	76
C	176	81	30
C	156	106	140
C	159	376	238
C	209	174	-141
C	133	265	258
C	186	499	-101
C	234	284	-162
C	152	539	80
C	79	33	-14
C	48	75	164
C	80	452	239
C	115	129	-185
C	29	236	281
C	121	565	-29
C	140	456	-194
C	164	348	-225
C	76	538	159
C	0	30	68
C	49	56	-119
C	-16	138	234
C	-29	421	265
C	44	194	-251
C	-54	314	284
C	14	584	-54
C	30	476	-219
C	68	300	-270
C	-35	558	133
C	-106	49	44
C	-62	77	-144
C	-126	159	209
C	-101	486	199
C	-65	162	-224
C	-150	267	239
C	-33	539	-150
C	-64	581	29
C	-14	379	-267
C	-138	76	-65
C	-171	115	115
C	-194	440	156
C	-144	238	-223
C	-219	330	176
C	-141	509	-126
C	-162	534	-16
C	-119	349	-244
C	-223	156	-62
C	-244	181	49
C	-225	464	48
C	-224	235	-138
C	-267	286	79
C	-185	415	-171
C	-270	368	0
C	-251	344	-106
